actionType	chemblIds	targetType	targets
INHIBITOR	CHEMBL384304	single protein	ENSG00000123374
INHIBITOR	CHEMBL4297163	single protein	ENSG00000112715
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1783256	single protein	ENSG00000011677
AGONIST	CHEMBL3989798	single protein	ENSG00000169252
AGONIST	CHEMBL1256786	single protein	ENSG00000169252
INHIBITOR	CHEMBL1743022	single protein	ENSG00000119699
INHIBITOR	CHEMBL2303613	protein family	
ANTAGONIST	CHEMBL2028987	single protein	ENSG00000109163
ANTAGONIST	CHEMBL415606	single protein	ENSG00000109163
INHIBITOR	CHEMBL1652128	single protein	
AGONIST	CHEMBL1201664	single protein	ENSG00000171105
INHIBITOR	CHEMBL4303729	single protein	ENSG00000157764
INHIBITOR	CHEMBL221886	protein nucleic-acid complex	
ANTAGONIST	CHEMBL2356097	single protein	ENSG00000043591
ANTAGONIST	CHEMBL13	single protein	ENSG00000043591
INHIBITOR	CHEMBL3137318	single protein	ENSG00000143799
INHIBITOR	CHEMBL3137320	single protein	ENSG00000143799
BLOCKER	CHEMBL1237132	protein family	ENSG00000151067
BLOCKER	CHEMBL1237132	protein family	ENSG00000081248
BLOCKER	CHEMBL1237132	protein family	ENSG00000157388
BLOCKER	CHEMBL1237132	protein family	ENSG00000102001
INHIBITOR	CHEMBL341812	protein family	ENSG00000073756
INHIBITOR	CHEMBL341812	protein family	ENSG00000095303
INHIBITOR	CHEMBL1605	protein family	
ANTAGONIST	CHEMBL1255582	protein family	ENSG00000150594
ANTAGONIST	CHEMBL1255582	protein family	ENSG00000184160
ANTAGONIST	CHEMBL1255582	protein family	ENSG00000274286
ANTAGONIST	CHEMBL23261	single protein	ENSG00000151617
ANTAGONIST	CHEMBL1914489	single protein	ENSG00000183134
INHIBITOR	CHEMBL4650473	single protein	ENSG00000181847
AGONIST	CHEMBL1082607	single protein	ENSG00000169252
AGONIST	CHEMBL1263	single protein	ENSG00000169252
INHIBITOR	CHEMBL86304	single protein	ENSG00000189221
ANTAGONIST	CHEMBL3545367	single protein	ENSG00000137252
INHIBITOR	CHEMBL8	protein complex	
INHIBITOR	CHEMBL142703	single protein	ENSG00000197635
INHIBITOR	CHEMBL4298123	single protein	ENSG00000135077
INHIBITOR	CHEMBL2220486	single protein	ENSG00000066468
ANTAGONIST	CHEMBL1200549	protein complex group	ENSG00000138435
ANTAGONIST	CHEMBL1200549	protein complex group	ENSG00000196811
ANTAGONIST	CHEMBL1200549	protein complex group	ENSG00000170175
ANTAGONIST	CHEMBL1200549	protein complex group	ENSG00000135902
ANTAGONIST	CHEMBL1200549	protein complex group	ENSG00000108556
ANTAGONIST	CHEMBL1201352	protein complex group	ENSG00000138435
ANTAGONIST	CHEMBL1201352	protein complex group	ENSG00000196811
ANTAGONIST	CHEMBL1201352	protein complex group	ENSG00000170175
ANTAGONIST	CHEMBL1201352	protein complex group	ENSG00000135902
ANTAGONIST	CHEMBL1201352	protein complex group	ENSG00000108556
INHIBITOR	CHEMBL1409	single protein	ENSG00000108576
INHIBITOR	CHEMBL814	single protein	ENSG00000108576
AGONIST	CHEMBL1963683	single protein	ENSG00000122420
AGONIST	CHEMBL1200817	single protein	ENSG00000112038
AGONIST	CHEMBL1514	single protein	ENSG00000112038
AGONIST	CHEMBL3707316	single protein	ENSG00000175344
AGONIST	CHEMBL3545347	single protein	ENSG00000130368
INHIBITOR	CHEMBL4650462	single protein	
INHIBITOR	CHEMBL513	single protein	ENSG00000104687
INHIBITOR	CHEMBL2109600	single protein	ENSG00000239697
ANTAGONIST	CHEMBL1200638	single protein	ENSG00000196639
ANTAGONIST	CHEMBL1201287	single protein	ENSG00000196639
INHIBITOR	CHEMBL4297584	single protein	ENSG00000105851
INHIBITOR	CHEMBL1200782	single protein	ENSG00000165646
INHIBITOR	CHEMBL612	single protein	ENSG00000165646
INHIBITOR	CHEMBL601719	chimeric protein	ENSG00000171094
INHIBITOR	CHEMBL601719	chimeric protein	ENSG00000181163
INHIBITOR	CHEMBL3545179	single protein	ENSG00000148053
INHIBITOR	CHEMBL1088750	single protein	ENSG00000112062
INHIBITOR	CHEMBL3989568	protein nucleic-acid complex	
INHIBITOR	CHEMBL1517	protein nucleic-acid complex	
INHIBITOR	CHEMBL245019	single protein	ENSG00000163655
ANTAGONIST	CHEMBL4457723	single protein	ENSG00000121807
INHIBITOR	CHEMBL4650248	single protein	
INHIBITOR	CHEMBL3545377	single protein	ENSG00000149554
BINDING AGENT	CHEMBL4298047	single protein	ENSG00000177455
BLOCKER	CHEMBL1534525	protein family	ENSG00000196557
BLOCKER	CHEMBL1534525	protein family	ENSG00000006283
BLOCKER	CHEMBL1534525	protein family	ENSG00000100346
BLOCKER	CHEMBL45816	protein family	ENSG00000196557
BLOCKER	CHEMBL45816	protein family	ENSG00000006283
BLOCKER	CHEMBL45816	protein family	ENSG00000100346
INHIBITOR	CHEMBL19	single protein	ENSG00000133742
PARTIAL AGONIST	CHEMBL75753	single protein	ENSG00000043591
INHIBITOR	CHEMBL3039543	single protein	ENSG00000121966
AGONIST	CHEMBL2107831	single protein	ENSG00000117400
ANTAGONIST	CHEMBL3989871	single protein	ENSG00000197405
INHIBITOR	CHEMBL187709	single protein	ENSG00000116133
ACTIVATOR	CHEMBL4298055	protein complex	ENSG00000160867
ACTIVATOR	CHEMBL4298055	protein complex	ENSG00000134962
INHIBITOR	CHEMBL2109464	single protein	ENSG00000169194
AGONIST	CHEMBL979	protein complex group	ENSG00000022355
AGONIST	CHEMBL979	protein complex group	ENSG00000145864
AGONIST	CHEMBL979	protein complex group	ENSG00000113327
AGONIST	CHEMBL979	protein complex group	ENSG00000166206
AGONIST	CHEMBL979	protein complex group	ENSG00000109158
AGONIST	CHEMBL979	protein complex group	ENSG00000182256
AGONIST	CHEMBL979	protein complex group	ENSG00000268089
AGONIST	CHEMBL979	protein complex group	ENSG00000011677
AGONIST	CHEMBL979	protein complex group	ENSG00000094755
AGONIST	CHEMBL979	protein complex group	ENSG00000187730
AGONIST	CHEMBL979	protein complex group	ENSG00000163285
AGONIST	CHEMBL979	protein complex group	ENSG00000163288
AGONIST	CHEMBL979	protein complex group	ENSG00000102287
AGONIST	CHEMBL979	protein complex group	ENSG00000151834
AGONIST	CHEMBL979	protein complex group	ENSG00000186297
AGONIST	CHEMBL979	protein complex group	ENSG00000145863
INHIBITOR	CHEMBL61593	single protein	ENSG00000070915
INHIBITOR	CHEMBL1614713	single protein	ENSG00000107643
AGONIST	CHEMBL289480	single protein	ENSG00000010322
PARTIAL AGONIST	CHEMBL2108144	single protein	ENSG00000101017
INHIBITOR	CHEMBL1678	single protein	ENSG00000087085
INHIBITOR	CHEMBL502	single protein	ENSG00000087085
PARTIAL AGONIST	CHEMBL2146110	single protein	ENSG00000149295
PARTIAL AGONIST	CHEMBL220808	single protein	ENSG00000149295
ANTAGONIST	CHEMBL1722209	single protein	ENSG00000133019
ANTAGONIST	CHEMBL1382	single protein	ENSG00000133019
ANTAGONIST	CHEMBL439338	single protein	ENSG00000151577
AGONIST	CHEMBL2448612	single protein	ENSG00000179546
AGONIST	CHEMBL442	single protein	ENSG00000179546
AGONIST	CHEMBL2151437	single protein	ENSG00000175344
OTHER	CHEMBL2108660	single protein	ENSG00000119888
AGONIST	CHEMBL4297492	single protein	ENSG00000196664
ANTAGONIST	CHEMBL1201108	single protein	ENSG00000126895
ANTAGONIST	CHEMBL1755	single protein	ENSG00000126895
INHIBITOR	CHEMBL48361	single protein	ENSG00000180210
AGONIST	CHEMBL25202	single protein	ENSG00000077092
INHIBITOR	CHEMBL157101	single protein	
AGONIST	CHEMBL1200845	single protein	ENSG00000113580
INHIBITOR	CHEMBL2109530	single protein	ENSG00000118785
INHIBITOR	CHEMBL3137309	single protein	ENSG00000171791
INHIBITOR	CHEMBL1120	protein family	ENSG00000073756
INHIBITOR	CHEMBL1120	protein family	ENSG00000095303
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1276138	protein complex group	ENSG00000152578
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1276138	protein complex group	ENSG00000125675
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1276138	protein complex group	ENSG00000120251
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1276138	protein complex group	ENSG00000155511
AGONIST	CHEMBL4297626	single protein	ENSG00000012504
INHIBITOR	CHEMBL1206245	single protein	ENSG00000110092
BLOCKER	CHEMBL16	protein family	ENSG00000144285
BLOCKER	CHEMBL16	protein family	ENSG00000183873
BLOCKER	CHEMBL16	protein family	ENSG00000007314
BLOCKER	CHEMBL16	protein family	ENSG00000136546
BLOCKER	CHEMBL16	protein family	ENSG00000136531
BLOCKER	CHEMBL16	protein family	ENSG00000169432
BLOCKER	CHEMBL16	protein family	ENSG00000153253
BLOCKER	CHEMBL16	protein family	ENSG00000168356
BLOCKER	CHEMBL16	protein family	ENSG00000196876
BLOCKER	CHEMBL16	protein family	ENSG00000185313
INHIBITOR	CHEMBL4204794	single protein	ENSG00000157404
INHIBITOR	CHEMBL608533	protein family	ENSG00000115825
INHIBITOR	CHEMBL608533	protein family	ENSG00000163558
INHIBITOR	CHEMBL608533	protein family	ENSG00000154229
INHIBITOR	CHEMBL608533	protein family	ENSG00000126583
INHIBITOR	CHEMBL608533	protein family	ENSG00000163932
INHIBITOR	CHEMBL608533	protein family	ENSG00000166501
INHIBITOR	CHEMBL608533	protein family	ENSG00000067606
INHIBITOR	CHEMBL608533	protein family	ENSG00000171132
INHIBITOR	CHEMBL608533	protein family	ENSG00000027075
INHIBITOR	CHEMBL608533	protein family	ENSG00000184304
INHIBITOR	CHEMBL608533	protein family	ENSG00000065675
BLOCKER	CHEMBL1200409	protein family	ENSG00000144285
BLOCKER	CHEMBL1200409	protein family	ENSG00000183873
BLOCKER	CHEMBL1200409	protein family	ENSG00000007314
BLOCKER	CHEMBL1200409	protein family	ENSG00000136546
BLOCKER	CHEMBL1200409	protein family	ENSG00000136531
BLOCKER	CHEMBL1200409	protein family	ENSG00000169432
BLOCKER	CHEMBL1200409	protein family	ENSG00000153253
BLOCKER	CHEMBL1200409	protein family	ENSG00000168356
BLOCKER	CHEMBL1200409	protein family	ENSG00000196876
BLOCKER	CHEMBL1200409	protein family	ENSG00000185313
BLOCKER	CHEMBL79	protein family	ENSG00000144285
BLOCKER	CHEMBL79	protein family	ENSG00000183873
BLOCKER	CHEMBL79	protein family	ENSG00000007314
BLOCKER	CHEMBL79	protein family	ENSG00000136546
BLOCKER	CHEMBL79	protein family	ENSG00000136531
BLOCKER	CHEMBL79	protein family	ENSG00000169432
BLOCKER	CHEMBL79	protein family	ENSG00000153253
BLOCKER	CHEMBL79	protein family	ENSG00000168356
BLOCKER	CHEMBL79	protein family	ENSG00000196876
BLOCKER	CHEMBL79	protein family	ENSG00000185313
INHIBITOR	CHEMBL4594608	single protein	ENSG00000182578
INHIBITOR	CHEMBL2103857	single protein	ENSG00000103546
AGONIST	CHEMBL1201032	single protein	ENSG00000179546
AGONIST	CHEMBL905	single protein	ENSG00000179546
AGONIST	CHEMBL411	single protein	ENSG00000091831
ANTAGONIST	CHEMBL567303	single protein	ENSG00000181408
INHIBITOR	CHEMBL1652621	single protein	
BINDING AGENT	CHEMBL4298034	single protein	
ANTAGONIST	CHEMBL3039531	single protein	ENSG00000180871
INHIBITOR	CHEMBL766	single protein	ENSG00000015413
ANTAGONIST	CHEMBL3544974	single protein	ENSG00000102468
ANTAGONIST	CHEMBL3187365	single protein	ENSG00000102468
INHIBITOR	CHEMBL4298097	single protein	ENSG00000113520
ANTAGONIST	CHEMBL514270	single protein	ENSG00000120088
INHIBITOR	CHEMBL1337	single protein	ENSG00000158104
INHIBITOR	CHEMBL2109465	single protein	ENSG00000169194
BLOCKER	CHEMBL1098	single protein	ENSG00000007314
INHIBITOR	CHEMBL290352	single protein	ENSG00000073803
BLOCKER	CHEMBL41306	protein complex group	ENSG00000176884
BLOCKER	CHEMBL41306	protein complex group	ENSG00000183454
BLOCKER	CHEMBL41306	protein complex group	ENSG00000273079
BLOCKER	CHEMBL41306	protein complex group	ENSG00000105464
BLOCKER	CHEMBL41306	protein complex group	ENSG00000116032
BLOCKER	CHEMBL41306	protein complex group	ENSG00000161509
BLOCKER	CHEMBL41306	protein complex group	ENSG00000198785
INHIBITOR	CHEMBL3187723	single protein	ENSG00000126934
INHIBITOR	CHEMBL2093999	protein complex group	ENSG00000163399
INHIBITOR	CHEMBL2093999	protein complex group	ENSG00000129244
INHIBITOR	CHEMBL2093999	protein complex group	ENSG00000143153
INHIBITOR	CHEMBL2093999	protein complex group	ENSG00000018625
INHIBITOR	CHEMBL2093999	protein complex group	ENSG00000069849
INHIBITOR	CHEMBL2093999	protein complex group	ENSG00000105409
INHIBITOR	CHEMBL2093999	protein complex group	ENSG00000132681
INHIBITOR	CHEMBL2093999	protein complex group	ENSG00000137731
INHIBITOR	CHEMBL4650285	protein family	ENSG00000102882
INHIBITOR	CHEMBL4650285	protein family	ENSG00000100030
BINDING AGENT	CHEMBL4297580	single protein	ENSG00000137033
ANTAGONIST	CHEMBL1631540	single protein	ENSG00000135312
INHIBITOR	CHEMBL1642	single protein	ENSG00000097007
INHIBITOR	CHEMBL941	single protein	ENSG00000097007
INHIBITOR	CHEMBL3989968	protein family	ENSG00000065989
INHIBITOR	CHEMBL3989968	protein family	ENSG00000113448
INHIBITOR	CHEMBL3989968	protein family	ENSG00000184588
INHIBITOR	CHEMBL3989968	protein family	ENSG00000105650
INHIBITOR	CHEMBL384304	single protein	ENSG00000135446
AGONIST	CHEMBL494480	single protein	ENSG00000116329
INHIBITOR	CHEMBL1698	single protein	ENSG00000103546
INHIBITOR	CHEMBL894	single protein	ENSG00000103546
ANTAGONIST	CHEMBL3545038	single protein	ENSG00000164129
INHIBITOR	CHEMBL3545366	protein complex group	ENSG00000145675
INHIBITOR	CHEMBL3545366	protein complex group	ENSG00000051382
INHIBITOR	CHEMBL3545366	protein complex group	ENSG00000105851
INHIBITOR	CHEMBL3545366	protein complex group	ENSG00000121879
INHIBITOR	CHEMBL3545366	protein complex group	ENSG00000105647
INHIBITOR	CHEMBL3545366	protein complex group	ENSG00000171608
INHIBITOR	CHEMBL3545366	protein complex group	ENSG00000141506
INHIBITOR	CHEMBL3545366	protein complex group	ENSG00000117461
BLOCKER	CHEMBL4594288	protein family	ENSG00000151067
BLOCKER	CHEMBL4594288	protein family	ENSG00000081248
BLOCKER	CHEMBL4594288	protein family	ENSG00000157388
BLOCKER	CHEMBL4594288	protein family	ENSG00000102001
BLOCKER	CHEMBL2111097	protein family	ENSG00000151067
BLOCKER	CHEMBL2111097	protein family	ENSG00000081248
BLOCKER	CHEMBL2111097	protein family	ENSG00000157388
BLOCKER	CHEMBL2111097	protein family	ENSG00000102001
INHIBITOR	CHEMBL575448	single protein	ENSG00000140443
ANTAGONIST	CHEMBL2108730	single protein	ENSG00000160712
AGONIST	CHEMBL181954	single protein	ENSG00000186951
INHIBITOR	CHEMBL1908370	protein complex	
INHIBITOR	CHEMBL2108055	single protein	
INHIBITOR	CHEMBL180101	single protein	ENSG00000103546
INHIBITOR	CHEMBL2108670	single protein	
INHIBITOR	CHEMBL436	single protein	ENSG00000085662
INHIBITOR	CHEMBL2105682	single protein	ENSG00000126218
INHIBITOR	CHEMBL1269025	single protein	ENSG00000126218
MODULATOR	CHEMBL1812161	single protein	ENSG00000181019
ANTAGONIST	CHEMBL2104986	protein complex group	ENSG00000166736
ANTAGONIST	CHEMBL2104986	protein complex group	ENSG00000186038
ANTAGONIST	CHEMBL2104986	protein complex group	ENSG00000149305
ANTAGONIST	CHEMBL2104986	protein complex group	ENSG00000186090
ANTAGONIST	CHEMBL2104986	protein complex group	ENSG00000178084
AGONIST	CHEMBL4650509	single protein	ENSG00000116678
INHIBITOR	CHEMBL1542	single protein	ENSG00000128059
ANTAGONIST	CHEMBL551813	single protein	ENSG00000183134
POSITIVE MODULATOR	CHEMBL2051955	protein complex	ENSG00000114854
POSITIVE MODULATOR	CHEMBL2051955	protein complex	ENSG00000129991
POSITIVE MODULATOR	CHEMBL2051955	protein complex	ENSG00000118194
INHIBITOR	CHEMBL3545083	single protein	ENSG00000170312
AGONIST	CHEMBL1201463	protein family	ENSG00000082556
AGONIST	CHEMBL1201463	protein family	ENSG00000116329
AGONIST	CHEMBL1201463	protein family	ENSG00000112038
AGONIST	CHEMBL485	protein family	ENSG00000082556
AGONIST	CHEMBL485	protein family	ENSG00000116329
AGONIST	CHEMBL485	protein family	ENSG00000112038
INHIBITOR	CHEMBL4297256	single protein	ENSG00000117594
INHIBITOR	CHEMBL1692	single protein	ENSG00000103546
INHIBITOR	CHEMBL11	single protein	ENSG00000103546
INHIBITOR	CHEMBL124660	single protein	ENSG00000122025
INHIBITOR	CHEMBL2109101	single protein	
AGONIST	CHEMBL1650	single protein	ENSG00000113580
ANTAGONIST	CHEMBL49429	single protein	ENSG00000126895
INHIBITOR	CHEMBL1200483	single protein	ENSG00000103546
INHIBITOR	CHEMBL1201208	single protein	ENSG00000103546
OTHER	CHEMBL2108734	single protein	ENSG00000107165
AGONIST	CHEMBL329123	single protein	ENSG00000132170
AGONIST	CHEMBL4297613	single protein	ENSG00000012504
INHIBITOR	CHEMBL2108313	single protein	ENSG00000112715
INHIBITOR	CHEMBL3646118	single protein	ENSG00000269858
BLOCKER	CHEMBL5095031	protein complex	ENSG00000111319
BLOCKER	CHEMBL5095031	protein complex	ENSG00000168447
BLOCKER	CHEMBL5095031	protein complex	ENSG00000166828
INHIBITOR	CHEMBL2109568	single protein	
CROSS-LINKING AGENT	CHEMBL2108581	protein complex	ENSG00000198851
CROSS-LINKING AGENT	CHEMBL2108581	protein complex	ENSG00000160654
CROSS-LINKING AGENT	CHEMBL2108581	protein complex	ENSG00000167286
INHIBITOR	CHEMBL483	single protein	
ANTAGONIST	CHEMBL1200940	single protein	ENSG00000166736
ANTAGONIST	CHEMBL86	single protein	ENSG00000166736
POSITIVE MODULATOR	CHEMBL4298126	single protein	ENSG00000110799
INHIBITOR	CHEMBL3678958	single protein	ENSG00000097007
ACTIVATOR	CHEMBL2108072	single protein	ENSG00000122194
INHIBITOR	CHEMBL272980	single protein	ENSG00000147099
ANTAGONIST	CHEMBL1201051	single protein	ENSG00000113749
ANTAGONIST	CHEMBL30	single protein	ENSG00000113749
INHIBITOR	CHEMBL2103851	single protein	ENSG00000122025
AGONIST	CHEMBL264374	protein family	ENSG00000132170
AGONIST	CHEMBL264374	protein family	ENSG00000186951
AGONIST	CHEMBL264374	protein family	ENSG00000112033
ACTIVATOR	CHEMBL1236936	protein complex group	ENSG00000061918
ACTIVATOR	CHEMBL1236936	protein complex group	ENSG00000123201
ACTIVATOR	CHEMBL1236936	protein complex group	ENSG00000152402
ACTIVATOR	CHEMBL1236936	protein complex group	ENSG00000164116
INHIBITOR	CHEMBL3545048	single protein	ENSG00000171608
INHIBITOR	CHEMBL11662	single protein	ENSG00000059377
ANTAGONIST	CHEMBL482950	single protein	ENSG00000120088
AGONIST	CHEMBL2368861	single protein	ENSG00000112038
AGONIST	CHEMBL511142	single protein	ENSG00000112038
BLOCKER	CHEMBL856	protein family	ENSG00000144285
BLOCKER	CHEMBL856	protein family	ENSG00000183873
BLOCKER	CHEMBL856	protein family	ENSG00000007314
BLOCKER	CHEMBL856	protein family	ENSG00000136546
BLOCKER	CHEMBL856	protein family	ENSG00000136531
BLOCKER	CHEMBL856	protein family	ENSG00000169432
BLOCKER	CHEMBL856	protein family	ENSG00000153253
BLOCKER	CHEMBL856	protein family	ENSG00000168356
BLOCKER	CHEMBL856	protein family	ENSG00000196876
BLOCKER	CHEMBL856	protein family	ENSG00000185313
ANTAGONIST	CHEMBL304902	single protein	ENSG00000069696
ANTAGONIST	CHEMBL1558	protein family	ENSG00000120907
ANTAGONIST	CHEMBL1558	protein family	ENSG00000171873
ANTAGONIST	CHEMBL1558	protein family	ENSG00000170214
ANTAGONIST	CHEMBL2	protein family	ENSG00000120907
ANTAGONIST	CHEMBL2	protein family	ENSG00000171873
ANTAGONIST	CHEMBL2	protein family	ENSG00000170214
OPENER	CHEMBL1200694	single protein	ENSG00000082482
BINDING AGENT	CHEMBL4297748	single protein	ENSG00000109163
ANTAGONIST	CHEMBL4297995	single protein	ENSG00000101916
AGONIST	CHEMBL1908376	single protein	ENSG00000111424
INHIBITOR	CHEMBL837	single protein	ENSG00000198900
INHIBITOR	CHEMBL20	single protein	ENSG00000167434
INHIBITOR	CHEMBL564829	single protein	ENSG00000123374
INHIBITOR	CHEMBL2109321	single protein	ENSG00000106991
INHIBITOR	CHEMBL377300	protein family	ENSG00000068078
INHIBITOR	CHEMBL377300	protein family	ENSG00000077782
INHIBITOR	CHEMBL377300	protein family	ENSG00000160867
INHIBITOR	CHEMBL377300	protein family	ENSG00000066468
ANTAGONIST	CHEMBL1200916	protein family	ENSG00000149295
ANTAGONIST	CHEMBL1200916	protein family	ENSG00000151577
ANTAGONIST	CHEMBL1200916	protein family	ENSG00000069696
ANTAGONIST	CHEMBL479	protein family	ENSG00000149295
ANTAGONIST	CHEMBL479	protein family	ENSG00000151577
ANTAGONIST	CHEMBL479	protein family	ENSG00000069696
MODULATOR	CHEMBL1059	protein complex group	ENSG00000196557
MODULATOR	CHEMBL1059	protein complex group	ENSG00000153956
MODULATOR	CHEMBL1059	protein complex group	ENSG00000151067
MODULATOR	CHEMBL1059	protein complex group	ENSG00000157445
MODULATOR	CHEMBL1059	protein complex group	ENSG00000081248
MODULATOR	CHEMBL1059	protein complex group	ENSG00000007402
MODULATOR	CHEMBL1059	protein complex group	ENSG00000157388
MODULATOR	CHEMBL1059	protein complex group	ENSG00000141837
MODULATOR	CHEMBL1059	protein complex group	ENSG00000148408
MODULATOR	CHEMBL1059	protein complex group	ENSG00000006283
MODULATOR	CHEMBL1059	protein complex group	ENSG00000151062
MODULATOR	CHEMBL1059	protein complex group	ENSG00000100346
MODULATOR	CHEMBL1059	protein complex group	ENSG00000102001
MODULATOR	CHEMBL1059	protein complex group	ENSG00000198216
MODULATOR	CHEMBL1059	protein complex group	ENSG00000182389
MODULATOR	CHEMBL1059	protein complex group	ENSG00000165995
MODULATOR	CHEMBL1059	protein complex group	ENSG00000067191
MODULATOR	CHEMBL1059	protein complex group	ENSG00000167535
MODULATOR	CHEMBL1059	protein complex group	ENSG00000105605
MODULATOR	CHEMBL1059	protein complex group	ENSG00000075429
MODULATOR	CHEMBL1059	protein complex group	ENSG00000166862
MODULATOR	CHEMBL1059	protein complex group	ENSG00000075461
MODULATOR	CHEMBL1059	protein complex group	ENSG00000142408
MODULATOR	CHEMBL1059	protein complex group	ENSG00000006116
MODULATOR	CHEMBL1059	protein complex group	ENSG00000130433
MODULATOR	CHEMBL1059	protein complex group	ENSG00000108878
AGONIST	CHEMBL1743011	single protein	ENSG00000006327
INHIBITOR	CHEMBL4541964	single protein	ENSG00000113448
INHIBITOR	CHEMBL440498	single protein	ENSG00000087245
BINDING AGENT	CHEMBL1743052	single protein	ENSG00000119888
AGONIST	CHEMBL1940832	single protein	ENSG00000169252
INHIBITOR	CHEMBL3189072	protein complex	ENSG00000259207
INHIBITOR	CHEMBL3189072	protein complex	ENSG00000005961
INHIBITOR	CHEMBL916	protein complex	ENSG00000259207
INHIBITOR	CHEMBL916	protein complex	ENSG00000005961
INHIBITOR	CHEMBL2109341	single protein	ENSG00000160791
RNAI INHIBITOR	CHEMBL2103797	nucleic-acid	
RNAI INHIBITOR	CHEMBL2110581	nucleic-acid	
ANTAGONIST	CHEMBL2109224	protein complex	ENSG00000005844
ANTAGONIST	CHEMBL2109224	protein complex	ENSG00000160255
AGONIST	CHEMBL1201103	protein family	ENSG00000120907
AGONIST	CHEMBL1201103	protein family	ENSG00000171873
AGONIST	CHEMBL1201103	protein family	ENSG00000170214
AGONIST	CHEMBL524	protein family	ENSG00000120907
AGONIST	CHEMBL524	protein family	ENSG00000171873
AGONIST	CHEMBL524	protein family	ENSG00000170214
ANTAGONIST	CHEMBL3286580	single protein	ENSG00000158748
ACTIVATOR	CHEMBL1800955	protein complex	ENSG00000092054
ACTIVATOR	CHEMBL1800955	protein complex	ENSG00000197616
ACTIVATOR	CHEMBL1800955	protein complex	ENSG00000078814
ACTIVATOR	CHEMBL1800955	protein complex	ENSG00000160808
ACTIVATOR	CHEMBL1800955	protein complex	ENSG00000111245
ACTIVATOR	CHEMBL1800955	protein complex	ENSG00000106631
ACTIVATOR	CHEMBL1800955	protein complex	ENSG00000198336
OPENER	CHEMBL1257	single protein	ENSG00000082482
ACTIVATOR	CHEMBL2108358	single protein	ENSG00000171509
PARTIAL AGONIST	CHEMBL187927	protein complex	ENSG00000160716
PARTIAL AGONIST	CHEMBL187927	protein complex	ENSG00000101204
AGONIST	CHEMBL2108027	single protein	ENSG00000112164
ANTAGONIST	CHEMBL4594447	single protein	ENSG00000151577
POSITIVE ALLOSTERIC MODULATOR	CHEMBL4594403	protein complex group	ENSG00000152578
POSITIVE ALLOSTERIC MODULATOR	CHEMBL4594403	protein complex group	ENSG00000125675
POSITIVE ALLOSTERIC MODULATOR	CHEMBL4594403	protein complex group	ENSG00000120251
POSITIVE ALLOSTERIC MODULATOR	CHEMBL4594403	protein complex group	ENSG00000155511
INHIBITOR	CHEMBL2108316	protein family	ENSG00000101412
INHIBITOR	CHEMBL2108316	protein family	ENSG00000007968
INHIBITOR	CHEMBL2108316	protein family	ENSG00000112242
INHIBITOR	CHEMBL2108316	protein family	ENSG00000205250
INHIBITOR	CHEMBL2108316	protein family	ENSG00000133740
INHIBITOR	CHEMBL2108316	protein family	ENSG00000169016
INHIBITOR	CHEMBL2108316	protein family	ENSG00000165891
INHIBITOR	CHEMBL2108316	protein family	ENSG00000129173
AGONIST	CHEMBL247951	single protein	ENSG00000186951
AGONIST	CHEMBL2105648	single protein	ENSG00000172819
INHIBITOR	CHEMBL2109474	single protein	ENSG00000010610
INHIBITOR	CHEMBL1078178	single protein	ENSG00000162434
INHIBITOR	CHEMBL1673408	protein nucleic-acid complex	
INHIBITOR	CHEMBL3545133	single protein	ENSG00000197122
AGONIST	CHEMBL565	single protein	ENSG00000186951
AGONIST	CHEMBL3545017	single protein	ENSG00000091831
ANTAGONIST	CHEMBL1620	single protein	ENSG00000196639
ANTAGONIST	CHEMBL657	single protein	ENSG00000196639
INHIBITOR	CHEMBL4297216	single protein	ENSG00000096968
INHIBITOR	CHEMBL1287853	single protein	ENSG00000096968
INHIBITOR	CHEMBL4297627	protein family	ENSG00000198400
INHIBITOR	CHEMBL4297627	protein family	ENSG00000148053
INHIBITOR	CHEMBL4297627	protein family	ENSG00000140538
OPENER	CHEMBL1200733	single protein	ENSG00000169427
INHIBITOR	CHEMBL1200820	protein family	
INHIBITOR	CHEMBL702	protein family	
INHIBITOR	CHEMBL5095033	protein family	ENSG00000102755
INHIBITOR	CHEMBL5095033	protein family	ENSG00000037280
INHIBITOR	CHEMBL5095033	protein family	ENSG00000128052
AGONIST	CHEMBL1200853	single protein	ENSG00000082175
INHIBITOR	CHEMBL371064	single protein	ENSG00000143387
AGONIST	CHEMBL107367	single protein	ENSG00000132170
INHIBITOR	CHEMBL1742999	single protein	ENSG00000108691
INHIBITOR	CHEMBL2105763	protein family	ENSG00000116478
INHIBITOR	CHEMBL2105763	protein family	ENSG00000171720
INHIBITOR	CHEMBL2105763	protein family	ENSG00000094631
INHIBITOR	CHEMBL2105763	protein family	ENSG00000196591
INHIBITOR	CHEMBL2105763	protein family	ENSG00000108840
INHIBITOR	CHEMBL2105763	protein family	ENSG00000061273
INHIBITOR	CHEMBL2105763	protein family	ENSG00000147099
INHIBITOR	CHEMBL2105763	protein family	ENSG00000163517
